arts,percentage
"Do creative writing, such as fiction, non-fiction, poetry, or plays",6.9
Read any book,48.5
Read Novels or short stories ,37.6
Read Poetry ,9.2
Read Plays ,2.4
"Attend a live book reading, storytelling, or poetry event",2.6
Listen to audiobook,18.5
Learn creative writing ,4.7
